fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fight_url
7789,3895,3284.0,0,66,55,29,21,0.0,0.0,1,0,,http://ufcstats.com/fight-details/a716172939767cab
7788,3894,1603.0,0,167,78,143,54,13.0,5.0,0,0,,http://ufcstats.com/fight-details/36830f6eb3c847f5
7787,3894,3797.0,1,95,25,93,23,1.0,0.0,0,0,,http://ufcstats.com/fight-details/36830f6eb3c847f5
7786,3893,1798.0,0,50,17,42,12,0.0,0.0,0,0,,http://ufcstats.com/fight-details/019983faebec6d64
7785,3893,2670.0,0,124,53,117,46,2.0,0.0,0,0,,http://ufcstats.com/fight-details/019983faebec6d64
7784,3892,2961.0,1,40,32,33,26,1.0,1.0,1,0,,http://ufcstats.com/fight-details/63b35df1276b3d64
7783,3892,782.0,0,44,25,33,14,0.0,0.0,0,0,,http://ufcstats.com/fight-details/63b35df1276b3d64
7782,3891,1945.0,0,116,98,32,21,4.0,4.0,0,1,,http://ufcstats.com/fight-details/c5d48ca7c22f857e
7781,3891,1422.0,0,85,70,38,25,2.0,0.0,1,2,,http://ufcstats.com/fight-details/c5d48ca7c22f857e
7780,3890,3327.0,0,178,89,134,47,0.0,0.0,1,0,,http://ufcstats.com/fight-details/5ae45d20a60dc109
7779,3890,1581.0,0,175,114,121,73,10.0,3.0,0,0,,http://ufcstats.com/fight-details/5ae45d20a60dc109
7778,3889,1543.0,0,93,39,81,29,0.0,0.0,0,0,,http://ufcstats.com/fight-details/163fbb2185730846
7777,3889,632.0,1,94,52,90,48,0.0,0.0,1,0,,http://ufcstats.com/fight-details/163fbb2185730846
7776,3888,556.0,0,114,83,66,36,2.0,0.0,2,0,,http://ufcstats.com/fight-details/fe132ef2ab8ae9d2
7775,3888,3448.0,0,176,115,103,47,6.0,1.0,0,0,,http://ufcstats.com/fight-details/fe132ef2ab8ae9d2
7774,3887,144.0,1,60,35,58,33,0.0,0.0,0,0,,http://ufcstats.com/fight-details/6d04fbef6b8e4551
7773,3887,3643.0,0,48,25,42,19,3.0,0.0,0,0,,http://ufcstats.com/fight-details/6d04fbef6b8e4551
7772,3886,1810.0,0,70,29,62,22,3.0,3.0,0,0,,http://ufcstats.com/fight-details/0d33d43bee65d98f
7771,3886,2537.0,0,106,80,53,30,2.0,2.0,3,0,,http://ufcstats.com/fight-details/0d33d43bee65d98f
7770,3885,1454.0,0,81,44,51,16,0.0,0.0,0,0,,http://ufcstats.com/fight-details/450760216f5643ca
7769,3885,4074.0,0,113,57,74,23,4.0,3.0,0,0,,http://ufcstats.com/fight-details/450760216f5643ca
7768,3884,2276.0,0,13,7,10,4,2.0,1.0,0,1,,http://ufcstats.com/fight-details/2cab927474cb6e62
7767,3884,227.0,0,81,55,76,50,3.0,3.0,0,1,,http://ufcstats.com/fight-details/2cab927474cb6e62
7766,3883,935.0,1,14,10,7,3,0.0,0.0,0,0,,http://ufcstats.com/fight-details/d1c519260c0ddf3a
7765,3883,1280.0,0,21,15,7,4,2.0,2.0,1,0,,http://ufcstats.com/fight-details/d1c519260c0ddf3a
