fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
2703,shannon,gugerty,Not Available,177.8,155.0,180.34,orthodox,1981-12-30,15,7,0,0.0,http://ufcstats.com/fighter-details/9f1641c08cf8fbe2
2702,clay,guida,The Carpenter,170.18,155.0,177.8,orthodox,1981-12-08,38,20,0,0.0,http://ufcstats.com/fighter-details/c47df9303d318c67
2701,jason,guida,Not Available,177.8,214.0,182.88,not available,1977-08-04,19,28,0,2.0,http://ufcstats.com/fighter-details/ce25b4ed82b1811b
2700,melvin,guillard,The Young Assassin,175.26,155.0,180.34,orthodox,1983-03-30,32,18,2,3.0,http://ufcstats.com/fighter-details/ccd1299e0345e0ce
2699,chris,guillen,Not Available,182.88,240.0,182.88,orthodox,1972-12-09,13,16,0,0.0,http://ufcstats.com/fighter-details/da0f33e4255f99eb
2698,marcelo,guimaraes,Magrao,182.88,185.0,185.42,orthodox,1983-06-25,9,2,1,0.0,http://ufcstats.com/fighter-details/0c9c0a43d3f3f49d
2697,leonardo,guimaraes,Leleco,182.88,185.0,182.88,orthodox,1982-04-15,11,5,0,1.0,http://ufcstats.com/fighter-details/cc98d857b148e33a
2696,brad,gumm,Not Available,180.34,170.0,182.88,orthodox,1900-01-01,10,6,1,1.0,http://ufcstats.com/fighter-details/4d74641fac830182
2695,john,gunderson,Quick Guns,175.26,155.0,175.26,orthodox,1979-01-05,35,16,2,0.0,http://ufcstats.com/fighter-details/a0c139b34f11421a
2694,john,gunther,The Machine,175.26,155.0,182.88,orthodox,1985-11-24,5,1,0,0.0,http://ufcstats.com/fighter-details/3956bdc8ab2e54b3
2693,jorge,gurgel,Not Available,170.18,155.0,175.26,orthodox,1977-01-25,14,10,0,0.0,http://ufcstats.com/fighter-details/04d5718ed2661e8c
2692,fabio,gurgel,Not Available,182.88,205.0,182.88,orthodox,1900-01-01,3,2,0,0.0,http://ufcstats.com/fighter-details/8377c5572cb356f3
2691,bogdan,guskov,Czarevitch,190.5,205.0,193.04,orthodox,1992-09-12,14,3,0,0.0,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f
2690,gugun,gusman,The Tiger,170.18,135.0,172.72,orthodox,1990-03-03,8,4,0,0.0,http://ufcstats.com/fighter-details/e34e3b1fffa13a6a
2689,andre,gusmao,Not Available,182.88,205.0,182.88,orthodox,1977-05-19,6,3,0,0.0,http://ufcstats.com/fighter-details/cc300e9aa3063431
2688,alexander,gustafsson,The Mauler,195.58,205.0,200.66,orthodox,1987-01-15,18,8,0,0.0,http://ufcstats.com/fighter-details/3c6976f8182d9527
2687,justin,guthrie,Not Available,185.42,170.0,182.88,not available,1981-01-19,18,9,0,0.0,http://ufcstats.com/fighter-details/a789defa9086da46
2686,horacio,gutierrez,The Punisher,177.8,145.0,182.88,not available,1990-09-15,4,3,0,0.0,http://ufcstats.com/fighter-details/cd85b48dc880fabd
2685,chris,gutierrez,El Guapo,175.26,135.0,170.18,orthodox,1991-04-22,19,5,2,0.0,http://ufcstats.com/fighter-details/45f0cc9d18f35137
2684,mando,gutierrez,El Toro,167.64,135.0,177.8,southpaw,1997-02-24,7,2,0,0.0,http://ufcstats.com/fighter-details/5f33ae0620e050c5
2683,mike,guymon,The Joker,182.88,170.0,187.96,orthodox,1974-09-17,15,6,1,0.0,http://ufcstats.com/fighter-details/eaea0fc7b76525a8
2682,chelsea,hackett,Hammer,162.56,125.0,167.64,switch,1998-08-16,3,1,1,0.0,http://ufcstats.com/fighter-details/184b7a36d50dcc5e
